1
Cal State Bakersfield,17,7,10,.412,-5.13,1.02,1,1,6,4,1,6,1226,1192,,695,460,1028,.447,88,264,.333,218,314,.694,233,656,211,113,50,238,361
Cal State Fullerton,17,5,12,.294,-6.66,1.08,0,2,2,5,2,6,1087,1132,,680,394,927,.425,102,312,.327,197,290,.679,118,563,188,90,53,220,303
Cal State Northridge,18,6,12,.333,-10.02,0.92,1,1,5,2,1,9,1347,1453,,720,481,1082,.445,135,390,.346,250,353,.708,163,595,257,113,49,231,321


California Baptist,17,12,5,.706,0.41,-5.25,3,1,9,3,3,2,1366,1208,,685,456,1005,.454,163,436,.374,291,371,.784,179,696,253,66,56,244,309
UC-Davis,17,6,11,.353,-5.69,-0.69,0,1,4,1,1,8,1210,1179,,690,437,951,.460,125,344,.363,211,273,.773,131,526,232,110,32,233,309
UC-Irvine,17,9,8,.529,3.46,1.39,1,0,5,1,2,6,1268,1134,,680,465,1013,.459,100,298,.336,238,314,.758,199,699,250,112,61,249,332
UC-Riverside,18,12,6,.667,-3.50,-4.10,2,0,8,1,4,5,1181,1068,,720,428,977,.438,147,423,.348,178,262,.679,168,673,237,93,43,250,317
UC-Santa Barbara,17,12,5,.706,0.15,-4.92,1,1,7,2,5,3,1231,1115,,685,434,928,.468,110,323,.341,253,339,.746,189,614,236,82,50,209,292
University of California,16,8,8,.500,2.37,5.94,2,1,8,2,0,3,1042,1099,,650,371,844,.440,82,225,.364,218,296,.736,130,539,153,62,40,217,299
Campbell,16,10,6,.625,-4.51,-4.65,1,3,4,2,5,3,1120,1041,,645,412,912,.452,124,378,.328,172,226,.761,119,492,239,132,40,212,295
Canisius,16,6,10,.375,-6.61,-4.74,1,4,3,2,2,7,1105,1135,,640,393,905,.434,93,313,.297,226,328,.689,166,536,225,136,39,265,325
Central Arkansas,17,5,12,.294,-13.87,1.45,4,2,5,1,0,10,1271,1496,,700,414,1015,.408,127,409,.311,316,450,.702,180,642,244,87,98,317,368
